ID,ITEM,CRIAÇÃO,FINALIZAÇÃO,SUPERVISÃO,TOTAL
1,AÇÃO PROMOCIONAL (Acompanhamento),1000.0,500.0,500.0,2000.0
2,"ADESIVO (automóvel, vitrine)",1010.0,505.0,505.0,2020.0
3,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",1020.0,510.0,510.0,2040.0
4,ADESIVO PARA CD,1030.0,515.0,515.0,2060.0
5,AGENDA (desenvolvimento do conteúdo/modelo),1040.0,520.0,520.0,2080.0
6,APLICAÇÃO DE LOGO EM PEÇAS PRONTAS,1050.0,525.0,525.0,2100.0
7,BANNER,1060.0,530.0,530.0,2120.0
8,BLOCO,1070.0,535.0,535.0,2140.0
9,BONÉ E CHAPÉU (criação de layout),1080.0,540.0,540.0,2160.0
10,BRINDE (especial c/ criação exclusiva),1090.0,545.0,545.0,2180.0
11,BROADSIDE (relatório até 4 páginas),1100.0,550.0,550.0,2200.0
12,BROADSIDE (relatório acima de 4 páginas),1110.0,555.0,555.0,2220.0
13,CALENDÁRIO,1120.0,560.0,560.0,2240.0
14,CAMISETA (criação de layout),1130.0,565.0,565.0,2260.0
15,CAPA CARNÊ,1140.0,570.0,570.0,2280.0
16,CARNÊ (miolo - por página),1150.0,575.0,575.0,2300.0
17,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,1160.0,580.0,580.0,2320.0
18,CAPA DE CD,1170.0,585.0,585.0,2340.0
19,CAPA PARA REVISTA/LIVRO,1180.0,590.0,590.0,2360.0
20,CARDÁPIO,1190.0,595.0,595.0,2380.0
21,CARTÃO DE CRÉDITO,1200.0,600.0,600.0,2400.0
22,"CARTÃO SIMPLES E CARTÃO POSTAL, PARA NATAL, ANIVERSÁRIO, ETC.",1210.0,605.0,605.0,2420.0
23,"CARTÃO COM LAYOUT ESPECIAL, PARA NATAL, ANIVERSÁRIO, ETC.",1220.0,610.0,610.0,2440.0
24,CARTAZ/POSTER,1230.0,615.0,615.0,2460.0
25,CATÁLOGO / MANUAL / PERFIL / CARTILHA / FOLDER (até 4 páginas),1240.0,620.0,620.0,2480.0
26,MALA DIRETA ELABORADA AUTO-ENVELOPÁVEL ATÉ 3 DOBRAS (SELF MAILER ELABORADO ATÉ 3 DOBRAS),1250.0,625.0,625.0,2500.0
27,AÇÃO PROMOCIONAL (Acompanhamento),1260.0,630.0,630.0,2520.0
28,"ADESIVO (automóvel, vitrine)",1270.0,635.0,635.0,2540.0
29,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",1280.0,640.0,640.0,2560.0
30,ADESIVO PARA CD,1290.0,645.0,645.0,2580.0
31,AGENDA (desenvolvimento do conteúdo/modelo),1300.0,650.0,650.0,2600.0
32,APLICAÇÃO DE LOGO EM PEÇAS PRONTAS,1310.0,655.0,655.0,2620.0
33,BANNER,1320.0,660.0,660.0,2640.0
34,BLOCO,1330.0,665.0,665.0,2660.0
35,BONÉ E CHAPÉU (criação de layout),1340.0,670.0,670.0,2680.0
36,BRINDE (especial c/ criação exclusiva),1350.0,675.0,675.0,2700.0
37,BROADSIDE (relatório até 4 páginas),1360.0,680.0,680.0,2720.0
38,BROADSIDE (relatório acima de 4 páginas),1370.0,685.0,685.0,2740.0
39,CALENDÁRIO,1380.0,690.0,690.0,2760.0
40,CAMISETA (criação de layout),1390.0,695.0,695.0,2780.0
41,CAPA CARNÊ,1400.0,700.0,700.0,2800.0
42,CARNÊ (miolo - por página),1410.0,705.0,705.0,2820.0
43,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,1420.0,710.0,710.0,2840.0
44,CAPA DE CD,1430.0,715.0,715.0,2860.0
45,CAPA PARA REVISTA/LIVRO,1440.0,720.0,720.0,2880.0
46,CARDÁPIO,1450.0,725.0,725.0,2900.0
47,CARTÃO DE CRÉDITO,1460.0,730.0,730.0,2920.0
48,"CARTÃO SIMPLES E CARTÃO POSTAL, PARA NATAL, ANIVERSÁRIO, ETC.",1470.0,735.0,735.0,2940.0
49,"CARTÃO COM LAYOUT ESPECIAL, PARA NATAL, ANIVERSÁRIO, ETC.",1480.0,740.0,740.0,2960.0
50,CARTAZ/POSTER,1490.0,745.0,745.0,2980.0
51,CATÁLOGO / MANUAL / PERFIL / CARTILHA / FOLDER (até 4 páginas),1500.0,750.0,750.0,3000.0
52,MALA DIRETA ELABORADA AUTO-ENVELOPÁVEL ATÉ 3 DOBRAS (SELF MAILER ELABORADO ATÉ 3 DOBRAS),1510.0,755.0,755.0,3020.0
53,AÇÃO PROMOCIONAL (Acompanhamento),1520.0,760.0,760.0,3040.0
54,"ADESIVO (automóvel, vitrine)",1530.0,765.0,765.0,3060.0
55,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",1540.0,770.0,770.0,3080.0
56,ADESIVO PARA CD,1550.0,775.0,775.0,3100.0
57,AGENDA (desenvolvimento do conteúdo/modelo),1560.0,780.0,780.0,3120.0
58,APLICAÇÃO DE LOGO EM PEÇAS PRONTAS,1570.0,785.0,785.0,3140.0
59,BANNER,1580.0,790.0,790.0,3160.0
60,BLOCO,1590.0,795.0,795.0,3180.0
61,BONÉ E CHAPÉU (criação de layout),1600.0,800.0,800.0,3200.0
62,BRINDE (especial c/ criação exclusiva),1610.0,805.0,805.0,3220.0
63,BROADSIDE (relatório até 4 páginas),1620.0,810.0,810.0,3240.0
64,BROADSIDE (relatório acima de 4 páginas),1630.0,815.0,815.0,3260.0
65,CALENDÁRIO,1640.0,820.0,820.0,3280.0
66,CAMISETA (criação de layout),1650.0,825.0,825.0,3300.0
67,CAPA CARNÊ,1660.0,830.0,830.0,3320.0
68,CARNÊ (miolo - por página),1670.0,835.0,835.0,3340.0
69,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,1680.0,840.0,840.0,3360.0
70,CAPA DE CD,1690.0,845.0,845.0,3380.0
71,CAPA PARA REVISTA/LIVRO,1700.0,850.0,850.0,3400.0
72,CARDÁPIO,1710.0,855.0,855.0,3420.0
73,CARTÃO DE CRÉDITO,1720.0,860.0,860.0,3440.0
74,"CARTÃO SIMPLES E CARTÃO POSTAL, PARA NATAL, ANIVERSÁRIO, ETC.",1730.0,865.0,865.0,3460.0
75,"CARTÃO COM LAYOUT ESPECIAL, PARA NATAL, ANIVERSÁRIO, ETC.",1740.0,870.0,870.0,3480.0
76,CARTAZ/POSTER,1750.0,875.0,875.0,3500.0
77,CATÁLOGO / MANUAL / PERFIL / CARTILHA / FOLDER (até 4 páginas),1760.0,880.0,880.0,3520.0
78,MALA DIRETA ELABORADA AUTO-ENVELOPÁVEL ATÉ 3 DOBRAS (SELF MAILER ELABORADO ATÉ 3 DOBRAS),1770.0,885.0,885.0,3540.0
79,AÇÃO PROMOCIONAL (Acompanhamento),1780.0,890.0,890.0,3560.0
80,"ADESIVO (automóvel, vitrine)",1790.0,895.0,895.0,3580.0
81,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",1800.0,900.0,900.0,3600.0
82,ADESIVO PARA CD,1810.0,905.0,905.0,3620.0
83,AGENDA (desenvolvimento do conteúdo/modelo),1820.0,910.0,910.0,3640.0
84,APLICAÇÃO DE LOGO EM PEÇAS PRONTAS,1830.0,915.0,915.0,3660.0
85,BANNER,1840.0,920.0,920.0,3680.0
86,BLOCO,1850.0,925.0,925.0,3700.0
87,BONÉ E CHAPÉU (criação de layout),1860.0,930.0,930.0,3720.0
88,BRINDE (especial c/ criação exclusiva),1870.0,935.0,935.0,3740.0
89,BROADSIDE (relatório até 4 páginas),1880.0,940.0,940.0,3760.0
90,BROADSIDE (relatório acima de 4 páginas),1890.0,945.0,945.0,3780.0
91,CALENDÁRIO,1900.0,950.0,950.0,3800.0
92,CAMISETA (criação de layout),1910.0,955.0,955.0,3820.0
93,CAPA CARNÊ,1920.0,960.0,960.0,3840.0
94,CARNÊ (miolo - por página),1930.0,965.0,965.0,3860.0
95,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,1940.0,970.0,970.0,3880.0
96,CAPA DE CD,1950.0,975.0,975.0,3900.0
97,CAPA PARA REVISTA/LIVRO,1960.0,980.0,980.0,3920.0
98,CARDÁPIO,1970.0,985.0,985.0,3940.0
99,CARTÃO DE CRÉDITO,1980.0,990.0,990.0,3960.0
