ID,ITEM,CRIAÇÃO,FINALIZAÇÃO,SUPERVISÃO,TOTAL
1, AÇÃO PROMOCIONAL (Acompanhamento), 3514.01, 1756.99, 1739.43, 7010.42
2, BANNER, 2108.42, 1054.16, 2393.92, 5556.50
3, DIAGRAMAÇÃO, 2740.93, 1370.43, 3112.10, 7223.46
4, DIAGRAMAÇÃO DE FORMULÁRIOS, 2000.02, 999.98, 999.98, 3999.97
5, ELABORAÇÃO DE ARTES, 18264.07, 18264.10, 9132.05, 45660.23
6, ELABORAÇÃO DE VÍDEO, 5479.22, , 7305.64, 12784.86
7, FLYER, 2108.42, 1054.16, 1054.16, 4216.74
8, FOTOGRAFIA, 1989.32, 994.60, 2368.20, 5352.12
9, HTML - ADAPTAÇÃO, 4216.83, 2108.32, 5019.96, 11345.12
10, ILUSTRAÇÃO, 8534.00, 4267.03, 4016.04, 16817.07
11, LOGOMARCA, 5522.02, 2760.98, 1408.11, 9691.11
12, MANUTENÇÃO DE SITES, 10040.02, 5020.03, 2560.21, 17620.26
13, REDES SOCIAIS - ELABORAÇÃO DE ARTES, 11532.51, 11532.54, 5766.27, 28831.33
14, REVISÃO, 7797.69, 3993.97, 2004.58, 13796.25
15, SITE - ADAPTAÇÃO, 2108.42, 1054.16, 527.08, 3689.66
16, TROCA DE ID, 1054.15, 552.16, 276.08, 1882.40
17, AÇÃO PROMOCIONAL (Acompanhamento), 3514.01, 1756.99, 1739.43, 7010.42
18, BANNER, 4116.40, 2108.42, 1054.21, 7279.03
19, DIAGRAMAÇÃO, 9993.15, 4998.07, 2499.04, 17490.26
20, DIAGRAMAÇÃO DE FORMULÁRIOS, 3514.01, 3514.01, 1757.00, 8785.02
21, DIAGRAMAÇÃO DE SITE, 3514.01, 1756.99, 1757.00, 7028.00
22, ELABORAÇÃO DE ARTES, 5971.20, 3011.40, 2985.60, 11968.20
23, ELABORAÇÃO DE VÍDEO, 10913.28, 5494.31, 5456.64, 21864.23
24, FLYER, 8534.00, 4267.03, 2176.18, 14977.21
25, FOTOGRAFIA, 9538.03, 4769.03, 4769.03, 19076.09
26, HTML - ADAPTAÇÃO, 12550.04, 6275.02, 6275.02, 25100.08
27, ILUSTRAÇÃO, 1054.16, 552.16, 552.16, 2158.49
28, LOGOMARCA, 1054.16, 552.16, 552.16, 2158.49
29, MANUTENÇÃO DE SITES, 3904.77, 2000.02, 1000.01, 6904.80
30, SITE - ADAPTAÇÃO, 2108.42, 1054.16, 527.08, 3689.66
31, TROCA DE ID, 5293.48, 2647.46, 1323.73, 9264.68
32, AÇÃO PROMOCIONAL (Acompanhamento), 9896.72, 4948.40, 2474.20, 17319.32
33, CRACHA/CEDULA IDENTIDADE / BOTOM, 2108.42, 1054.16, 527.08, 3689.66
34, DIGITACAO DE TEXTO (por lauda), 566.64, 0, 283.32, 849.96
35, DIGITACAO DE TEXTO OUTRO IDIOMA (por lauda), 849.96, 0, 424.98, 1274.94
36, EMBLEMA / DISTINTIVO / PIN, 3514.01, 1756.99, 878.49, 6149.49
