ID,ITEM,CRIAÇÃO,FINALIZAÇÃO,SUPERVISÃO,TOTAL
1,ACAO PROMOCIONAL (Acompanhamento),1000.0,500.0,500.0,2000.0
2,"ADESIVO (automóvel, vitrine)",1010.0,505.0,505.0,2020.0
3,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",1020.0,510.0,510.0,2040.0
4,ADESIVO PARA CD,1030.0,515.0,515.0,2060.0
5,AGENDA (desenvolvimento do conteúdo/modelo),1040.0,520.0,520.0,2080.0
6,APLICACAO DE LOGO EM PECAS PRONTAS,1050.0,525.0,525.0,2100.0
7,BANNER,1060.0,530.0,530.0,2120.0
8,BLOCO,1070.0,535.0,535.0,2140.0
9,BONÉ E CHAPÉU (criação de layout),1080.0,540.0,540.0,2160.0
10,BRINDE (especial c/ criação exclusiva),1090.0,545.0,545.0,2180.0
11,BROADSIDE (relatório até 4 páginas),1100.0,550.0,550.0,2200.0
12,BROADSIDE (relatório acima de 4 páginas),1110.0,555.0,555.0,2220.0
13,CALENDÁRIO,1120.0,560.0,560.0,2240.0
14,CAMISETA (criação de layout),1130.0,565.0,565.0,2260.0
15,CAPA CARNÊ,1140.0,570.0,570.0,2280.0
16,CARNÊ (miolo - por página),1150.0,575.0,575.0,2300.0
17,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,1160.0,580.0,580.0,2320.0
18,CAPA DE CD,1170.0,585.0,585.0,2340.0
19,CAPA PARA REVISTA/LIVRO,1180.0,590.0,590.0,2360.0
20,ACAO PROMOCIONAL (Acompanhamento),1190.0,595.0,595.0,2380.0
21,"ADESIVO (automóvel, vitrine)",1200.0,600.0,600.0,2400.0
22,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",1210.0,605.0,605.0,2420.0
23,ADESIVO PARA CD,1220.0,610.0,610.0,2440.0
24,AGENDA (desenvolvimento do conteúdo/modelo),1230.0,615.0,615.0,2460.0
25,APLICACAO DE LOGO EM PECAS PRONTAS,1240.0,620.0,620.0,2480.0
26,BANNER,1250.0,625.0,625.0,2500.0
27,BLOCO,1260.0,630.0,630.0,2520.0
28,BONÉ E CHAPÉU (criação de layout),1270.0,635.0,635.0,2540.0
29,BRINDE (especial c/ criação exclusiva),1280.0,640.0,640.0,2560.0
30,BROADSIDE (relatório até 4 páginas),1290.0,645.0,645.0,2580.0
31,BROADSIDE (relatório acima de 4 páginas),1300.0,650.0,650.0,2600.0
32,CALENDÁRIO,1310.0,655.0,655.0,2620.0
33,CAMISETA (criação de layout),1320.0,660.0,660.0,2640.0
34,CAPA CARNÊ,1330.0,665.0,665.0,2660.0
35,CARNÊ (miolo - por página),1340.0,670.0,670.0,2680.0
36,CAPA CATÁLOGO / MANUAL / PERFIL / CARTILHA,1350.0,675.0,675.0,2700.0
37,CAPA DE CD,1360.0,680.0,680.0,2720.0
38,CAPA PARA REVISTA/LIVRO,1370.0,685.0,685.0,2740.0
39,ACAO PROMOCIONAL (Acompanhamento),1380.0,690.0,690.0,2760.0
40,"ADESIVO (automóvel, vitrine)",1390.0,695.0,695.0,2780.0
41,"ADESIVO (automóvel, vitrine, acima de 20x40cm)",1400.0,700.0,700.0,2800.0
42,ADESIVO PARA CD,1410.0,705.0,705.0,2820.0
